연도 ,지역,업종명,규모,사업장명(현장명),소재지,중대재해재해자수(명),근로자수(명),재해자수(명),재해율(퍼센트),규모별 동종업종 평균 재해율(퍼센트)
2020,경남,기계기구·금속·비금속광물제품제조업,50인미만,"㈜종합기계(원청), 신호산업기계(하청)",경남 양산시 어실로 425-2 (어곡동),1,5,1,20,1.12
2020,경남,선박건조 및 수리업,50인미만,"일광산업주식회사(원청), 동성선박(하청)(삼천포 신항 내 해신3호 기관수리)",경남 사천시 신항만1길 2 (동금동),1,5,1,20,1.8
2020,경남,선박건조 및 수리업,50인미만,"케이엘씨에스엠㈜(원청), 앰앤씨엔지니어링㈜(하청)(SM QINGDAO호 수리)","경남 창원시 진해구 신항로 341 (용원동, 부산신항북컨테이너)",1,5,1,20,1.8
2020,경남,건설업,50인미만,(주)용진(완암변전소 외벽교체 및 기타공사),"경남 창원시 성산구 연덕로 7 (웅남동, (완암변전소))",1,5,1,20,1.82
2020,경남,건설업,50인미만,"보성종합건설(주)(원청), 유원어드벤처건설주식회사(하청)(대봉산 산림레포츠시설 조성사업 조경공사)",경남 함양군 병곡면 원산리,1,5,1,20,1.82
2020,경남,농업,50인미만,농업회사법인영광엔씨씨주식회사,경남 밀양시 무안면 사명로 694 (무안면),1,5,1,20,0.8
2020,제주,건설업,50인미만,주식회사용산(하귀초등학교 내.외부 도색공사),제주 제주시 애월읍 하귀로 44 (하귀초등학교),1,5,1,20,1.82
2020,제주,철도·항공·창고·운수관련서비스업,50인미만,(주)우리자원해운/한림항,제주 제주시 연사길 88 (오라이동),1,5,1,20,0.74
2020,대구,수제품 및 기타제품제조업,50인미만,(주)수성자원,대구 달서구 성서공단로 21길 82 (갈산동),1,16,3,18.75,0.95
2020,경기,기계기구·금속·비금속광물제품제조업,50인미만,(주)두원플랜트,경기 화성시 서신면 제부로 654번길 123,2,11,2,18.18,1.12
2020,서울,건설업,50인미만,"두손종합건설㈜(원청), 개인사업자 박병윤(하청)(갈현동 12-328 번지 다세대주택 신축공사)","서울 은평구 갈현로45길 44-9 (갈현동) 328, 329번지",1,11,2,18.18,1.82
2020,충남,건설업,50인미만,삼아종합건설(주)(천안 성정동 도시형생활주택 신축공사),충남 천안시 서북구 성정동 1530,2,24,4,16.67,1.82
2018,전북,화학제품제조업,50인 미만,형진화학,전북 김제시 용지면 금백로 671 (형진화학),1,6,1,16.67,0.99
2019,서울,건설업,50인미만,"(주)정준건업(압구정 한양2단지 아파트11동 내,외부 균열보수 및 재도장공사)","서울 강남구 압구정로 347 (압구정동, 영동한양아파트21동)",1,6,1,16.67,2
2019,강원,건설업,50인미만,한일전력주식회사(154KV 주진평창 T/L 안전이격거리 확보공사),강원 평창군 평창읍 일원,1,6,1,16.67,2
2019,충북,건설업,50인미만,(주)빌드산업(황간성당 사제관 교육관 리모델링 공사),충북 영동군 황간면 남성2길 29 (천주교황간교회),1,6,1,16.67,2
2019,충북,사업서비스업,50인미만,"하이트진로음료㈜ 청주공장 하이트진로음료㈜ 청원공장(구)(원청), 주식회사제이에스로지스(하청)",충북 청주시 상당구 가덕면 금거내암로 308 (가덕면),1,6,1,16.67,0.68
2019,경남,건설업,50인미만,"태산종합건설(주)(원청), 팔도비계공사(하청)(거제 호산나교회 증축공사)",경남 거제시 양정1길 29 (양정동),1,6,1,16.67,2
2020,부산,기계기구·금속·비금속광물제품제조업,50인미만,"개인사업자 박래철(원청), (주)희원엔지니어링(하청)",부산 남구 자성로 152 한일O/T 1412 (문현동),1,6,1,16.67,1.12
