연도 ,지역,업종명,규모,사업장명(현장명),소재지,중대재해재해자수(명),근로자수(명),재해자수(명),재해율(퍼센트),규모별 동종업종 평균 재해율(퍼센트)
2020,강원,건설업,50인미만,"대산종합건설(주)(정선군 목재문화체험장 조성사업(토목, 건축, 조경, 기계))",강원 정선군 정선읍 광하리 16-6,1,12,1,8.33,1.82
2020,경기,화학 및 고무제품제조업,50인미만,(주)동원글라스,경기 화성시 비봉면 주석로 437-45 자안리 572-4,1,12,1,8.33,0.82
2020,경남,수제품 및 기타제품제조업,50인미만,(주)대풍산업,경남 창원시마산합포구 진북면 망곡리 산 13-1번지,1,38,3,7.89,0.95
2019,부산,건설업,50인미만,"새한테크(원청), 강산기술검사주식회사(하청)(부경에너지(주)탱크증설 및 배관공사)",부산 남구 황령대로 343 (대연동),1,13,1,7.69,2
2020,광주,목재 및 종이제품제조업,50인미만,(주)조선우드,광주 광산구 하남산단5번로 99-11 (장덕동),1,13,1,7.69,1.46
2020,경기,기계기구·금속·비금속광물제품제조업,50인미만,(주)신흥테크,경기 광주시 초월읍 동막골길 140-41 ,1,13,1,7.69,1.12
2020,경기,건설업,50인미만,신한종합건설(주)(김포 감정 신한헤센 공동주택 도시계획도로 공사도급계약서),경기 김포시 감정동,1,13,1,7.69,1.82
2019,충북,건설업,50인미만,진종합건설주식회사(덕산약품공업(주) 주5동 증축공사),충북 진천군 덕산읍 산수산단1로 13-37 0,2,27,2,7.41,2
2020,서울,건설업,50인미만,"주식회사선진건설 선진종합건설㈜(구)(원청), (주)이아이크리에이티브(하청)(반포동 737-10 의료 및 근생 신축공사)",서울 서초구 강남대로 489 (반포동),1,27,2,7.41,1.82
2020,부산,건설업,50인미만,"미성종합건설(원청), 주식회사더라움건설(하청)(사직골프연습장 및 자동차매매장 신축공사 중 철근콘크리트공사)","부산 금정구 식물원로 9번길 20, 406호(장전동, 금정라움)",2,28,2,7.14,1.82
2019,경기,건설업,50인미만,"누마루종합건설(주)(원청), 주식회사올찬(하청)(전곡전통시장 아케이드 리모델링공사)",경기 연천군 전곡읍 전곡로164번길 9 전곡시장,1,14,1,7.14,2
2019,경기,건설업,50인미만,주식회사건우종합건설(당정동 1013-2 다세대주택 신축공사),경기 군포시 당정역로 86 (당정동),1,14,1,7.14,2
2019,전북,화학 및 고무제품제조업,50인미만,"주식회사팜한농 정읍공장(원청), 유한회사에스에프씨(S.F.C)(하청)",전북 정읍시 북면 3산단4길 28 ,1,14,1,7.14,1.01
2020,부산,건설업,50인미만,예서건설㈜(부산 에코델타시티 상수도인입공사(1공구)),부산 강서구 강동동 외,1,14,1,7.14,1.82
2020,세종,건설업,50인미만,"(주)조양산업(첫마을 6단지아파트 균열보수 및 재도장, 기타 보수공사)","세종 누리로 28 (한솔동, 첫마을6단지) ",1,14,1,7.14,1.82
2020,경기,수제품 및 기타제품제조업,50인미만,베올리아에코사이클(주),경기 여주시 가남읍 일신로 88 ,1,14,1,7.14,0.95
2020,경북,임업,50인미만,봉화군산림조합(2020년 상반기 소나무재선충병 방제사업(기번2)),경북 봉화군 봉화읍 봉화로 840 ,1,14,1,7.14,1.14
2020,경남,농업,50인미만,농업회사법인로진주식회사,경남 진주시 이반성면 하곡로 150-45 (이반성면),1,14,1,7.14,0.8
2020,경기,건설업,50인미만,"대양종합건설(주)(원청), 삼하나건설㈜(하청)(장현4초등학교 신축공사)",경기 시흥시 군자동 산32-3,1,45,3,6.67,1.82
2019,충남,농업,50인미만,봉화산축산영농조합법인,충남 보령시 천북면 사호장은로 316-148 (봉화산농장),1,30,2,6.67,0.97
2020,경기,건설업,50인미만,㈜창성종합건설((주)산내음푸드 용인공장 신축공사),경기 용인시 처인구 이동읍 덕성리 용인테크노밸리일반산업단지 15블록 블럭 10로트,1,30,2,6.67,1.82
2020,경남,기계기구·금속·비금속광물제품제조업,50인미만,신성메탈주식회사,경남 밀양시 삼랑진읍 용전산업단지길 73 (삼랑진읍),1,30,2,6.67,1.12
2019,강원,건설업,50인미만,주식회사전진토건(속초교동 658-82 외 1필지 공동주택신축공사),강원 속초시 교동 658-82,1,15,1,6.67,2
2019,경북,건설업,50인미만,"표준종합건설(주)(원청), 주식회사 용마루이엔지(하청)(경주 양남면 읍천리 풀빌라 신축공사)",경북 경주시 양남면 340번지외 5필지,1,15,1,6.67,2
2020,경기,기계기구·금속·비금속광물제품제조업,50인미만,(주)선일,경기 안산시 단원구 초지동(성곡동) 660번지 7호 (주)선일,1,15,1,6.67,1.12
2019,강원,"기계기구, 비금속광물 및 금속제품제조업",50인미만,강원여객자동차㈜1급정비공장,강원 강릉시 강변로 558 (입암동),1,46,3,6.52,1.39
2020,경기,기계기구·금속·비금속광물제품제조업,50인미만,동화산업(주),경기 시흥시 희망공원로 99 시화공단2마201호 (정왕동),1,47,3,6.38,1.12
2020,전남,건설업,50인미만,"(주)신일(원청), 진양건설㈜(하청)(여수시 덕충동 오피스텔 신축공사)",전남 여수시 덕충동 2037-2번지 일원,1,47,3,6.38,1.82
2019,경기,건설업,50인미만,민광종합건설(주)((주)에프앤에스식품 오산공장 신축공사),"경기 오산시 원동 582-1,582-9,582-11",1,32,2,6.25,2
2020,경기,건설업,50인미만,주식회사하임산업(용강프라자 신축공사),경기 용인시 수지구 동천동 579-3,1,32,2,6.25,1.82
2018,경북,수송용기계기구제조업ㆍ자동차 및 모터사이클수리업,50인 미만,통일운수정비공업사,경북 경주시 원효로 202 (인왕동),1,16,1,6.25,0.9
2020,경기,수제품 및 기타제품제조업,50인미만,(주)태인리사이클링(포천),경기 포천시 내촌면 부마로 469번길 10 (내촌면),1,16,1,6.25,0.95
2020,충북,기계기구·금속·비금속광물제품제조업,50인미만,주식회사디앤디에코텍,충북 청주시 상당구 미원면 단재로 2800 ,1,16,1,6.25,1.12
2020,경기,기계기구·금속·비금속광물제품제조업,50인미만,진영공영(주),경기 시흥시 마유로 238번길 89 (정왕동) 시화공단 3나 305호,1,33,2,6.06,1.12
2020,경북,건설업,50인미만,"(주)홍성건설(원청), 주식회사영화산업(하청)(포항 용흥동 의료시설 신축공사)","경북 포항시 북구 새천년대로 580 (용흥동), 외 1필지",1,33,2,6.06,1.82
2020,서울,건설업,100~299인,태건건설㈜(하청)(홍대 CGV 복합몰 신축공사),서울 마포구 동교동 167-13번지 외 1필지,1,100,6,6,0.48
2019,경기,"기계기구, 비금속광물 및 금속제품제조업",50인미만,"대화이앤씨건설(주)(원청), 도원플랜트산업 주식회사(하청)(도원플랜트산업(주)공장 신축공사)",경기 화성시 서신면 매화리 759-216,1,17,1,5.88,1.39
2020,부산,건설업,50인미만,"주식회사태종건설개발(원청), 주식회사세아건설(하청)(부전동 93-10번지 오피스텔 신축공사)",부산 연제구 월드컵대로 157 (연산동) 7층,1,17,1,5.88,1.82
2020,대구,건설업,50인미만,"태인건설산업주식회사(원청), 주식회사 민이엔씨(하청)(동구 신천동 118-6 근린생활시설 신축공사)",대구 동구 신천동 118-6번지 ,1,17,1,5.88,1.82
2020,충북,건설업,50인미만,"(유한)엔에스종합건설(원청), 유한회사이젠(하청)((유)유리 상가 신축공사)",충북 진천군 덕산읍 두촌리 2459,1,17,1,5.88,1.82
2020,충남,화학 및 고무제품제조업,50인미만,한국프라스틱주식회사예산공장,충남 예산군 삽교읍 산단2길 111 한국프라스틱(주)예산공장,1,17,1,5.88,0.82
2020,경북,도소매·음식·숙박업,50인미만,포항수산업협동조합판매과,경북 포항시 북구 해동로173번길 8-1 (죽도동),1,17,1,5.88,0.62
2019,충북,건설업,50인미만,(주)정호이앤씨(이원~옥천(매화~동이 지방도 확포장공사)구간 배관이설공사),충북 옥천군 이원면 강청리 0000-0000번지 이원 옥천일대,1,18,1,5.56,2
2019,경북,건설업,50인미만,(주)팔조솔라((주)팔조솔라 태양광발전시설 설치공사),경북 경주시 감포읍 팔조리 산 129번지,1,18,1,5.56,2
2020,경기,건설업,50인미만,"(주)현승종합건설(원청), 후지E&C(하청)((주)와이제이푸드 공장 신축공사 중 2차 건축공사)",경기 평택시 오성면 죽3리길 8-19 ,1,18,1,5.56,1.82
2020,경기,건설업,50인미만,대화종합건설(주)(경기 김포시 운양동 유스타(주) 근린생활시설 신축공사),"경기 김포시 운양동 1205-25번지, 누산리 1032-47번지",1,18,1,5.56,1.82
2020,경기,건설업,50인미만,"세이종합건설(주)(원청), 주식회사 신서광건설 (하청)(군포 대야미동 645-7 오피스텔 신축공사)",경기 군포시 대야미동 645-7,1,18,1,5.56,1.82
2020,경남,시설관리 및 사업지원서비스업,50인미만,코데코주식회사,경남 고성군 고성읍 상정대로 604 (고성읍),1,18,1,5.56,0.58
2020,충남,건설업,50인미만,"제이에이치건설(주)(원청), (주)부명건설(하청)((주)아이미코리아엠에스 신축공사)",충남 서천군 장항읍 장항국가산업단지 산 33-1,1,37,2,5.41,1.82
2019,경기,건설업,50인미만,대선이엔씨(주)(용인동백세브란스병원(가칭) 전기공사),경기 용인시 기흥구 중동 724-7,1,38,2,5.26,2
2019,경남,건설업,50인미만,씨에이치종합건설(주)(사천시 용현면 선진리 94-7외 3필지 근생 및 주택 신축공사),경남 사천시 용현면 선진리 94-7외 3필지,1,19,1,5.26,2
2020,대구,건설업,50인미만,"(주)태명건설(월성푸르지오 외,내부 균열보수 및 재도장공사)","대구 달서구 조암로 6길 20 (월성동, 월성푸르지오)",1,19,1,5.26,1.82
2020,경기,화학 및 고무제품제조업,50인미만,대원수지공업(주),경기 화성시 팔탄면 현대기아로 556번길 128 ,1,19,1,5.26,0.82
2020,경기,건설업,50인미만,주식회사솔라썬에너지(이레/반석/신선발전소),경기 여주시 흥천면 능북로 214 이인묵,1,19,1,5.26,1.82
2020,제주,철도·항공·창고·운수관련서비스업,50인미만,대성종합물류주식회사,제주 제주시 임항로 262-1 (건입동) 4층,1,19,1,5.26,0.74
2018,경기,건설업,50~99인,"에이치오건설(주)(원청), 주식회사아성산업개발(하청)(협성메디칼증축공사)",경기 양주시 광적면 부흥로597번길 105-24 외 1필지,2,58,3,5.17,0.72
2018,경기,건설업,50인 미만,"디엘종합건설㈜(원청), ㈜동우(하청)(파파존스안성공장신축공사)",경기 안성시 양성면 구장길 21-21 이현리 221-2외5필지,1,40,2,5,1.8
2020,경북,기계기구·금속·비금속광물제품제조업,50인미만,㈜대진이앤씨 칠곡1공장,경북 칠곡군 가산면 호국로 1206-34 (가산면),1,40,2,5,1.12
2020,인천,건설업,50인미만,"성강종합건설㈜(원청), (주)가람이엔씨(하청)(시흥은계지구성강해오름지식산업센터신축공사 중 설비공사)",인천 남동구 아암대로 1223 (고잔동) 609,1,20,1,5,1.82
2020,울산,건설업,50인미만,동명종합건설(주)((주)썬로드 공장 신축공사),울산 울주군 언양읍 반천리 1116-4번지,1,20,1,5,1.82
2020,경기,건설업,50인미만,"(주)에이원건설산업(원청), (주)삼원이앤엘(하청)(창고시설 신축공사)",경기 이천시 부발읍 고백리 146-3번지,1,20,1,5,1.82
2020,경북,건설업,50인미만,주식회사아성건설((경호프로파일) 구미시 공단동 293-1 공장신축공사),경북 구미시 공단동 293-1,1,20,1,5,1.82
2020,경남,기계기구·금속·비금속광물제품제조업,50인미만,㈜대신에스엔씨,경남 김해시 진례면 테크노밸리로 186 (진례면),1,20,1,5,1.12
2020,경남,기계기구·금속·비금속광물제품제조업,50인미만,흥진산업(주),경남 합천군 적중면 황강옥전로 1839 ,1,41,2,4.88,1.12
2018,부산,"수상운수업, 항만하역 및 화물취급사업",100~299인,"한국허치슨터미널주식회사(원청), 와이에스케이주식회사(하청)",부산 영도구 대교로46번길 53 (봉래동2가),1,125,6,4.8,0.75
2019,충북,"기계기구, 비금속광물 및 금속제품제조업",50인미만,(주)광신철강,충북 청주시 서원구 현도면 청남로 692 ,1,21,1,4.76,1.39
2020,서울,건설업,50인미만,"예일건설(주)(원청), 가양건설(하청)(중구 수표동 11-4번지 용도변경공사)",서울 중구 수표로 72-13 (수표동),1,21,1,4.76,1.82
2020,경기,목재 및 종이제품제조업,50인미만,주식회사유림하이텍,경기 광주시 곤지암읍 신만로436번길 62-18,1,21,1,4.76,1.46
2020,경기,기계기구·금속·비금속광물제품제조업,50인미만,"효정건설㈜(원청), 한성모듈러주식회사(하청)",경기 양주시 천보산로 176-90 (회암동),1,21,1,4.76,1.12
2019,경기,기타의 각종사업,100~299인,(주)효성크린,경기 부천시 옥산로252번길 56 (도당동),1,127,6,4.72,0.41
2020,경기,건설업,50인미만,"(주)두용종합건설(원청), 삼일창호(하청)(배곧신도시 지원 1-8-1지식산업센터 신축공사)",경기 시흥시 정왕동 2578-1,1,43,2,4.65,1.82
2019,경북,건설업,100~299인,"극동건설㈜(원청), 정품건설산업주식회사(하청)(동해선 포항-삼척 철도건설 제14공구 노반건설공사)",경북 울진군 북면 검성길 29-1 (일대),1,130,6,4.62,0.55
2019,세종,"건물종합관리, 위생 및 유사서비스업",50인미만,충청환경산업(주),세종 부강면 등곡리 505-1,1,22,1,4.55,0.78
2019,경기,섬유 및 섬유제품제조업,50인미만,주식회사미림텍스,경기 포천시 어룡1길22 (어룡동),1,22,1,4.55,0.79
2020,서울,건설업,50인미만,주식회사채움건설그룹(서초동 1524-1 근린생활시설 및 다세대주택 신축공사),서울 서초구 반포대로19길 9-3 (서초동),1,22,1,4.55,1.82
2020,울산,기계기구·금속·비금속광물제품제조업,50인미만,대원레미콘(주),울산 울주군 언양읍 반천강변길 20 ,1,22,1,4.55,1.12
2020,광주,화학 및 고무제품제조업,"1,000인이상",금호타이어(주),"광주 광산구 어등대로 658 (소촌동, 금호타이어(주))",2,1957,87,4.45,1.76
2020,광주,기계기구·금속·비금속광물제품제조업,50인미만,"㈜현성오토텍(원청), 주식회사다담통운 (하청)",광주 광산구 소촌로 123번길 28 (소촌동),1,23,1,4.35,1.12
2020,울산,기계기구·금속·비금속광물제품제조업,50인미만,(주)엘피케이,울산 울주군 상북면 길천산업로 473-6 ,1,23,1,4.35,1.12
2020,경기,기계기구·금속·비금속광물제품제조업,50인미만,주식회사동아에스텍,경기 평택시 포승읍 원석정용소길 76 (포승읍),1,23,1,4.35,1.12
2020,경북,기계기구·금속·비금속광물제품제조업,50인미만,(주)케이이씨문경공장,경북 문경시 신기공단1길,1,23,1,4.35,1.12
2020,경남,국가 및 지방자치단체의사업,100~299인,창원시 진해구청 (수산산림과 공원녹지담당),경남 창원시 진해구 진해대로 1101 행정동 3층 (장천동),1,119,5,4.2,0.92
2020,경기,시설관리 및 사업지원서비스업,50인미만,(주)방태,경기 남양주시 진건읍 독정로 273번길 71 ,1,48,2,4.17,0.58
2020,충남,건설업,50인미만,"주식회사태성종합건설(모산역 문화플랫폼 및 문화어울림 공간 조성사업(건축, 기계))",충남 아산시 배방읍 공수리 67-37,1,24,1,4.17,1.82
2020,경북,건설업,50인미만,유림건설(주)(고령~성산간 도로확포장공사 지장관로 이설공사),경북 고령군 성산면 상용로 82,1,24,1,4.17,1.82
2020,경기,기계기구·금속·비금속광물제품제조업,50인미만,엠케이세라믹,경기 연천군 청산면 청연로 31-30 (엠케이세라믹),1,25,1,4,1.12
2020,경기,건설업,50인미만,"엠오에이종합건설(주)(원청), 주식회사 보광이엔지(하청)(관양동 999 자동차관련시설신축공사)",경기 안양시 동안구 시민대로 347 (관양동),1,25,1,4,1.82
2020,경북,건설업,50인미만,한영건설주식회사(하청)(울릉(도동)항 방파제 보수보강공사),경북 울릉군 울릉읍 도동리(울릉(도동)항) ,1,25,1,4,1.82
2020,충남,기계기구·금속·비금속광물제품제조업,50인미만,(주)무룡,충남 서산시 성연면 명천산업로78 ,1,26,1,3.85,1.12
2020,경기,건설업,50인미만,"정운종합건설주식회사(원청), 주식회사 신원에코바이저(하청)(화성시 병점지구 국도43호선 방음벽공사)",경기 화성시 진안동 832-58 일원(국도43호선),1,27,1,3.7,1.82
2020,울산,기타의 각종사업,50인미만,이에이치산업(주),울산 울주군 웅촌면 고연공단1길 19 (웅촌면),1,28,1,3.57,0.46
2020,경기,시설관리 및 사업지원서비스업,50인미만,한일환경(주),경기 안산시 단원구 호수동(고잔동) 718-2번지 동남레이크빌 1 207,1,28,1,3.57,0.58
2019,경기,건설업,100~299인,"주식회사수영로지콘(원청), ㈜정호시스템(하청)(설성면 대죽리 545-5 창고시설 신축공사)",경기 이천시 설성면 대죽리 545-5외 24필지,1,142,5,3.52,0.55
2020,대구,건설업,100~299인,동부건설(주)(대구 메리어트호텔 및 서비스드레지던스 신축공사),"대구 동구 동부로 26길 18 (신천동, 신천동326-1)",1,290,10,3.45,0.48
2019,경남,화학 및 고무제품제조업,50인미만,국도피엔텍(주),경남 양산시 어곡공단1길 32 (어곡동),1,29,1,3.45,1.01
2020,경남,기계기구·금속·비금속광물제품제조업,50인미만,(주)경동기계,경남 김해시 진례면 진례로 129 (진례면),1,29,1,3.45,1.12
2018,대전,"수상운수업, 항만하역 및 화물취급사업",50인 미만,씨제이대한통운㈜(원청),대전 대덕구 신탄진로 1 대한통운내 (읍내동),1,30,1,3.33,1.76
2020,경기,화학 및 고무제품제조업,50인미만,세진플라스틱(주),경기 고양시 일산동구 견달산로 395-12,1,30,1,3.33,0.82
2020,전북,식료품제조업,50인미만,(주)팜스토리서울사료김제,전북 김제시 만경읍 만경공단1길 8 ,1,30,1,3.33,1.14
2019,서울,건설업,100~299인,"일성건설㈜(원청), 은산토건(주)(하청)(Y22 개발계획에 따른 도시계획시설(공공지하보도)설치공사)",서울 영등포구 국제금융로2길 7 (여의도동) 8층,2,123,4,3.25,0.55
2020,경기,건설업,50인미만,도영종합건설㈜(연천미디어 신축공사),경기 연천군 군남면 진상리 59외2필지,1,31,1,3.23,1.82
2020,경북,건설업,50인미만,우람종합건설(주)(원청)(삼자현터널 국도건설공사),경북 청송군 부남면 일원,1,31,1,3.23,1.82
2020,서울,건설업,50~99인,동성건설(주)(영등포동1가 오피스텔 신축공사(건축)),"서울 영등포구 영등포동1가 121-5,6번지",1,63,2,3.17,0.74
2017,경기,건설업,100~299인,개인사업자 오희문(하청)(의정부민락2 B-9BL 아파트 건설공사 10공구),경기 의정부시 낙양동 189,3,222,7,3.15,0.31
2020,부산,철도·항공·창고·운수관련서비스업,50인미만,부산선박(주),"부산 동구 조방로 14 (범일동, 동일타워) 813호",1,32,1,3.13,0.74
2020,전남,철도·항공·창고·운수관련서비스업,50인미만,"주식회사농협사료㈜, 농협물류(원청), (주)성보농수축산물유통나주지점(하청)",전남 나주시 문평면 다시로 30-8 농협사료나주배합사료공장,1,32,1,3.13,0.74
2020,경남,기계기구·금속·비금속광물제품제조업,50~99인,삼보산업(주),경남 창원시 진해구 남의로21번길 36 (남양동),1,98,3,3.06,0.65
2019,충북,건설업,50인미만,주식회사삼보건설 주식회사원광(구)((주)씨에이치산업 유천산단공장 신축공사),충북 음성군 금왕읍 유촌리 785,1,33,1,3.03,2
2020,대전,건설업,50인미만,"신도종합건설(주)(원청), (주)소명특수건업(하청)(대전지방국세청 청사 신축사업(건축공사))",대전 대덕구 계족로 677 (법동),1,33,1,3.03,1.82
2020,경기,건설업,50인미만,"남해종합건설㈜, 구일종합건설㈜(원청), (주)세인테크(하청)(김포마송 B-5BL 아파트 건설공사 5공구)",경기 김포시 통진읍 마송리 일원(김포마송 택지개발지구 내 B-5BL) ,1,33,1,3.03,1.82
2020,충남,농업,50인미만,피그텍,충남 부여군 홍산면 토동로108 ,1,33,1,3.03,0.8
2018,충북,섬유 또는 섬유제품제조업(을),100~299인,(주)스타플렉스,충북 음성군 삼성면 대성로 417 ,1,199,6,3.02,0.6
2020,경남,건설업,50인미만,"(주)포스코아이씨티(원청), ㈜메리트엔지니어링㈜, 제일기건(하청)(진주 혁신도시 스타플렉스 신축사업)",경남 진주시 에나로127번길 28 (충무공동),1,34,1,2.94,1.82
2019,서울,건설업,50인미만,"(주)라움에이드(원청), 정진지오개발(하청)(코끼리연립 가로주택정비사업 재건축아파트 신축공사)",서울 강동구 천호옛8길 8 (성내동),1,35,1,2.86,2
2019,세종,건설업,50인미만,신대일종합건설㈜((주)새롬켐텍 공장 신축공사),세종 전의면 어천길 110-5 (관정리),1,35,1,2.86,2
2017,경기,건설업,50~99인,"남광토건㈜(원청), 경기포장중기㈜(하청)(슬레드시험실건설공사)",경기 포천시 창수면 청창로 842 청창로 일월,1,71,2,2.82,0.6
2020,대구,식료품제조업,50인미만,(주)에스비크럼즈,대구 달서구 성서로 255 (갈산동),1,36,1,2.78,1.14
2020,인천,기계기구·금속·비금속광물제품제조업,50인미만,(주)태화물산,인천 서구 검단로188번길 18-3,1,36,1,2.78,1.12
2020,경기,건설업,50인미만,"토우종합건설주식회사(원청), 주식회사 원탑엔지니어링(하청)(이천신하교회 안아주심 Dream center 신축공사)","경기 이천시 부발읍 경충대로 2264 (383-21, 383-11, 383-38, 383-6)",1,36,1,2.78,1.82
2018,대구,수송용기계기구제조업ㆍ자동차 및 모터사이클수리업,50인 미만,태창공업(주)2공장,대구 달서구 성서공단로174 (월암동),1,37,1,2.7,0.9
2019,경기,건설업,50인미만,"(주)아태종합건설(원청), (주)뉴텍산업(하청)(우주금속산업 연천공장 신축공사)",경기 연천군 백학면 통구리 1057,1,37,1,2.7,2
2019,경북,"기계기구, 비금속광물 및 금속제품제조업",50인미만,주식회사 베록스,경북 경산시 와촌면 금송로87길 22,1,38,1,2.63,1.39
2020,충남,기계기구·금속·비금속광물제품제조업,50인미만,해경플륨주식회사,충남 보령시 천북면 홍보로 563-0 (천북면),1,38,1,2.63,1.12
2020,충남,금속제련업,50인미만,(주)금당-당진공장,충남 당진시 송악읍 부곡공단로 307 ,1,38,1,2.63,1.17
2020,서울,건설업,50인미만,"주식회사싸스컴(원청), 주식회사우영컴퍼니(하청)(디지털프라자 홍대점)",서울 마포구 양화로 147 (동교동),1,39,1,2.56,1.82
2020,경기,건설업,50인미만,"효정종합건설㈜(원청), 유진이엔씨(하청)(엘루오 기술연구원(ISO CGMP) 신축공사)",경기 화성시 정남면 음양리 557,1,39,1,2.56,1.82
2020,인천,건설업,100~299인,"씨제이대한통운(주)(원청), 원창건설(주)(하청)(송도 타임스퀘어 상업시설 신축공사)","인천 연수구 송도동 8-21,22",1,276,7,2.54,0.48
2020,서울,건설업,50인미만,"(주)흥판종합건설(원청), ㈜태경금속건설(하청)(굿프린팅 성수동 사옥 신축공사)",서울 성동구 성수동1가 656-1748,1,40,1,2.5,1.82
2020,부산,건설업,50~99인,"(주)신창종합건설(원청), 아이산업(하청)(명례공장 신축공사)",부산 기장군 장안읍 명례리 904,1,81,2,2.47,0.74
2020,경기,건설업,50~99인,"주식회사건우(원청), 포시즌건설㈜(하청)(죽당리 창고시설 신축공사)",경기 이천시 부발읍 198,1,81,2,2.47,0.74
2020,광주,식료품제조업,50인미만,삼호축산(주),광주 북구 하서로 176번길 32 (양산동),1,41,1,2.44,1.14
2020,경기,기계기구·금속·비금속광물제품제조업,50인미만,부광모터스(주),경기 안양시 만안구 박달로 338번길 18 (박달동),1,41,1,2.44,1.12
2020,경기,전기기계기구·정밀기구·전자제품제조업,50인미만,금산전자공업(주),경기 파주시 조리읍 명봉산로 79번길 67 ,1,41,1,2.44,0.35
2020,경기,건설업,50인미만,"세영건설㈜, 에이치엔아이엔씨㈜, 현대비에스앤씨㈜(구), 주식회사 해성기공(원청), 연합건설(하청)(백암물류창고 신축공사)",경기 용인시 처인구 백암면 백암리 252-13,1,41,1,2.44,1.82
2020,경기,건설업,50인미만,"태조건설(주)(원청), 은성산업주식회사(하청)(광주곤지암창고 신축공사)",경기 광주시 곤지암읍 수양리 117번지 외 7필지,1,41,1,2.44,1.82
2020,경남,기계기구·금속·비금속광물제품제조업,100~299인,(주)코텍,경남 창원시 의창구 차룡로14번길 18 (팔용동),1,124,3,2.42,0.59
2020,대구,기계기구·금속·비금속광물제품제조업,50인미만,"성협공업㈜ 경산공장(원청), (주)아이디에스(하청)",대구 달성군 유가면 테크노중앙대로 140 (유가면),1,42,1,2.38,1.12
2019,경기,건설업,300~499인,(주)대우건설(철산주공4단지재건축공사),"경기 광명시 오리로 835 (철산동, 주공아파트)",1,351,8,2.28,0.39
2018,전북,사업서비스업,50인 미만,"주식회사서주(원청), 농업회사법인아이푸드㈜(구)(원청)","전북 김제시 중앙로 79 (요촌동, 아이푸드(주) 내)",1,44,1,2.27,0.57
2020,경남,기계기구·금속·비금속광물제품제조업,50인미만,고려애자공업(주),경남 창원시 마산회원구 내서읍 중리공단로 75 (경비실),1,44,1,2.27,1.12
2020,경기,건설업,100~299인,"(주)유탑건설(원청), (주)씨에스개발(하청)(구리 남양시장 정비사업 주상복합신축공사)",경기 구리시 수택동 481번지,1,133,3,2.26,0.48
2019,경남,유리·도자기·시멘트제조업,100~299인,삼영산업(주),경남 김해시 진영읍 하계로138번길 51-62 ,2,180,4,2.22,0.73
2018,경북,"수상운수업, 항만하역 및 화물취급사업",50인 미만,"동국산업 주식회사(원청), 주식회사와이에이치패키지(하청)",경북 포항시 남구 제철동 (장흥동) 842-2,1,45,1,2.22,1.76
2020,부산,전기기계기구·정밀기구·전자제품제조업,50인미만,주식회사베가통신,부산 강서구 대저중앙로 71번가길 13-0 (대저1동),1,45,1,2.22,0.35
2019,울산,건설업,50인미만,한백산업개발(주)(코리아에어텍 온산공장 ASU 건축공사),울산 울주군 온산읍 온산로 134 대한유화 온산공장 부지 내,1,46,1,2.17,2
2020,인천,건설업,50인미만,"(주)힘찬종합건설(원청), (주)신우유비코스(하청)(남동구간석동217-2주상복합신축공사)",인천 남동구 경인로 653번길 19 (간석동),1,47,1,2.13,1.82
2019,경기,건설업,50~99인,"상훈종합건영(주)(원청), (주)스파콘건설(하청)(평택물류센터 공장증축 공사)",경기 평택시 청북읍 고렴리 1127번지,1,95,2,2.11,0.9
2020,전북,건설업,50인미만,"(주)우리종합건설(원청), 주식회사방주 주식회사명성중공업(구)(하청)(전북 장수군 장계면 공장 및 기숙사 신축공사)",전북 장수군 장계면 937,1,48,1,2.08,1.82
2019,경기,건설업,"1,000인이상","삼성물산주식회사(원청), 오씨에스엔지니어링㈜(하청)([E-PJT] FAB 건설공사 (FAB))","경기 화성시 삼성1로2길 29 (석우동, 삼성물산 화성캠퍼스)",1,1623,33,2.03,0.2
2018,충남,전기·가스·증기 및 수도사업,100~299인,"한국서부발전(주) 태안발전본부(원청), 한국발전기술주식회사(하청)","충남 태안군 원북면 발전로 457 태안건설본부 9,10호기 시운전실 한국발전기술 주식회사",1,149,3,2.01,0.13
2020,경기,건설업,50~99인,혁성공영(주)(평택 화양지구 도시개발사업 토목조경공사),경기 평택시 현덕면 452-2번지 일원,1,50,1,2,0.74
2020,서울,건설업,100~299인,"대보건설(주)(원청), ㈜아이텍파워(하청)(가산동2차 hausD·WISE 지식산업센터 신축공사)",서울 금천구 가산동 345-19,1,101,2,1.98,0.48
2019,경기,"건물종합관리, 위생 및 유사서비스업",50~99인,주식회사대아산업개발,경기 양주시 백석읍 연곡로 28 ,1,51,1,1.96,0.68
2020,서울,건설업,100~299인,"에스지씨이테크건설㈜ ㈜이테크건설(구)(원청), (주)혜림건설(하청)(성수동 THE LIV 세종타워 지식산업센터 신축사업)",서울 성동구 성수동2가 273-52번지 외 2필지,1,103,2,1.94,0.48
2020,경북,기계기구·금속·비금속광물제품제조업,100~299인,현대제철(주) 포항2공장,경북 포항시 남구 철강로314번길 36 (장흥동),1,163,3,1.84,0.59
2019,충남,"기계기구, 비금속광물 및 금속제품제조업",100~299인,(주)승일실업/천안지점,충남 천안시 동남구 동면 화복로 536 (동면),2,110,2,1.82,0.75
2018,대전,화학제품제조업,500~999인,㈜한화 대전사업장,대전 유성구 외삼로8번길 99 (외삼동),9,721,13,1.8,0.29
