접수일자,제작사,차명,모델년도
2021-12-28,르노코리아자동차 주식회사,SM6,2017
2021-12-28,르노코리아자동차 주식회사,SM6,2016
2021-12-28,르노코리아자동차 주식회사,SM6,2017
2021-12-28,기아주식회사,쏘렌토 하이브리드,2021
2021-12-28,현대자동차(주),싼타페(SANTAFE),2014
2021-12-28,현대자동차(주),맥스크루즈 (MAXCRUZ),2015
2021-12-28,현대자동차(주),넥쏘 (NEXO) 수소전기차,2022
2021-12-28,현대자동차(주),넥쏘 (NEXO) 수소전기차,2020
2021-12-28,현대자동차(주),싼타페(SANTAFE),2014
2021-12-28,현대자동차(주),넥쏘 (NEXO) 수소전기차,2021
2021-12-28,현대자동차(주),i40 Saloon,2012
2021-12-27,현대자동차(주),쏘나타(SONATA) 하이브리드,2014
2021-12-28,현대자동차(주),싼타페(SANTAFE),2015
2021-12-28,현대자동차(주),맥스크루즈 (MAXCRUZ),2016
2021-12-28,현대자동차(주),넥쏘 (NEXO) 수소전기차,2022
2021-12-28,현대자동차(주),맥스크루즈 (MAXCRUZ),2016
2021-12-28,현대자동차(주),넥쏘 (NEXO) 수소전기차,2020
2021-12-28,현대자동차(주),넥쏘 (NEXO) 수소전기차,2021
2021-12-28,(주)포멕특장,포멕26톤초장축카고트럭,2016
2021-12-27,폭스바겐그룹코리아 주식회사,A6 40 TDI,2020
2021-12-27,기아주식회사,스포티지,2019
2021-12-28,폭스바겐그룹코리아 주식회사,Jetta 1.6 TDI Blue Motion,2013
2021-12-28,현대자동차(주),싼타페(SANTAFE),2015
2021-12-28,현대자동차(주),넥쏘 (NEXO) 수소전기차,2020
2021-12-28,현대자동차(주),팰리세이드(PALISADE),2021
2021-12-28,현대자동차(주),에쿠스(EQUUS),2010
2021-12-28,현대자동차(주),넥쏘 (NEXO) 수소전기차,2022
2021-12-28,한불모터스(주),Citroen C4 Cactus 1.6 BlueHDi,2017
2021-12-28,현대자동차(주),맥스크루즈 (MAXCRUZ),2014
2021-12-28,폭스바겐그룹코리아 주식회사,Q8 50 TDI quattro,2022
2021-12-28,기아주식회사,K7,2016
2021-12-27,(주)한성특장,한성프리마8.5톤카고,2021
2021-12-28,현대자동차(주),넥쏘 (NEXO) 수소전기차,2021
2021-12-27,한국지엠(주),말리부 2.0 디젤,2015
2021-12-27,현대자동차(주),맥스크루즈 (MAXCRUZ),2015
2021-12-27,기아주식회사,K5,2020
2021-12-27,한국지엠(주),말리부 2.0 TURBO,2017
2021-12-27,르노코리아자동차 주식회사,QM6,2017
2021-12-27,폭스바겐그룹코리아 주식회사,A6 40 TDI,2021
2021-12-27,현대자동차(주),맥스크루즈 (MAXCRUZ),2016
2021-12-27,현대자동차(주),아이오닉5 (IONIQ5),2022
2021-12-27,르노코리아자동차 주식회사,SM6,2016
2021-12-27,한국지엠(주),말리부 2.0 디젤,2015
2021-12-27,기아주식회사,K5,2016
2021-12-27,현대자동차(주),맥스크루즈 (MAXCRUZ),2014
2021-12-27,현대자동차(주),넥쏘 (NEXO) 수소전기차,2020
2021-12-27,현대자동차(주),맥스크루즈 (MAXCRUZ),2014
2021-12-27,비엠더블유코리아(주),MINI Cooper D,2012
2021-12-27,현대자동차(주),맥스크루즈 (MAXCRUZ),2014
2021-12-27,현대자동차(주),싼타페(SANTAFE),2014
2021-12-27,현대자동차(주),G80,2017
2021-12-27,현대자동차(주),맥스크루즈 (MAXCRUZ),2017
2021-12-24,메르세데스벤츠코리아(주),벤츠 E 300 e,2019
2021-12-27,현대자동차(주),맥스크루즈 (MAXCRUZ),2016
2021-12-27,르노코리아자동차 주식회사,QM6,2022
2021-12-27,현대자동차(주),넥쏘 (NEXO) 수소전기차,2022
2021-12-27,한국닛산(주),ALTIMA 2.5,2017
2021-12-27,폭스바겐그룹코리아 주식회사,Golf 1.6 TDI BMT,2015
2021-12-27,폭스바겐그룹코리아 주식회사,A6 45 TFSI,2021
2021-12-27,현대자동차(주),싼타페 하이브리드(SANTAFE HYBRID),2022
2021-12-27,현대자동차(주),맥스크루즈 (MAXCRUZ),2017
2021-12-24,현대자동차(주),G80,2021
2021-12-27,현대자동차(주),i40,2014
2021-12-27,현대자동차(주),싼타페(SANTAFE),2014
2021-12-24,현대자동차(주),i40 Saloon,2012
2021-12-24,현대자동차(주),맥스크루즈 (MAXCRUZ),2017
2021-12-24,현대자동차(주),i40,2012
2021-12-24,비엠더블유코리아(주),BMW Active Tourer,2016
2021-12-24,현대자동차(주),i40,2012
2021-12-24,현대자동차(주),i40 Saloon,2014
2021-12-24,현대자동차(주),i40,2012
2021-12-24,현대자동차(주),i40,2012
2021-12-24,현대자동차(주),i40,2012
2021-12-24,현대자동차(주),맥스크루즈 (MAXCRUZ),2014
2021-12-24,기흥인터내셔널 유한회사,V8 VANTAGE,2016
2021-12-23,타타대우상용차(주),더쎈,2022
2021-12-24,현대자동차(주),맥스크루즈 (MAXCRUZ),2017
2021-12-24,현대자동차(주),싼타페(SANTAFE),2014
2021-12-24,르노코리아자동차 주식회사,SM6,2017
2021-12-24,기아주식회사,K5,2021
2021-12-24,현대자동차(주),맥스크루즈 (MAXCRUZ),2018
2021-12-24,르노코리아자동차 주식회사,SM6,2016
2021-12-24,현대자동차(주),아반떼 (AVANTE),2012
2021-12-24,르노코리아자동차 주식회사,SM6,2019
2021-12-24,르노코리아자동차 주식회사,SM6,2019
2021-12-24,비엠더블유코리아(주),BMW 520d,2013
2021-12-24,현대자동차(주),맥스크루즈 (MAXCRUZ),2016
2021-12-24,현대자동차(주),맥스크루즈 (MAXCRUZ),2014
2021-12-23,기아주식회사,스포티지,2016
2021-12-23,기아주식회사,K5 하이브리드,2014
2021-12-23,현대자동차(주),맥스크루즈 (MAXCRUZ),2018
2021-12-23,현대자동차(주),넥쏘 (NEXO) 수소전기차,2021
2021-12-23,폭스바겐그룹코리아 주식회사,Tiguan 2.0 TDI,2020
2021-12-23,현대자동차(주),싼타페(SANTAFE),2016
2021-12-23,현대자동차(주),맥스크루즈 (MAXCRUZ),2018
2021-12-23,한국지엠(주),크루즈 1.8 DOHC,2011
2021-12-23,현대자동차(주),맥스크루즈 (MAXCRUZ),2018
2021-12-22,(주)재규어랜드로버코리아,디스커버리4 3.0D,2016
2021-12-23,폭스바겐그룹코리아 주식회사,Jetta 2.0 TDI BMT,2015
2021-12-22,쌍용자동차(주),코란도 투리스모,2014
2021-12-23,기아주식회사,K5 하이브리드,2013
2021-12-23,폭스바겐그룹코리아 주식회사,Jetta 1.6 TDI Blue Motion,2013
2021-12-23,기아주식회사,카니발,2015
2021-12-23,현대자동차(주),맥스크루즈 (MAXCRUZ),2016
2021-12-23,지엠대우오토앤테크놀로지(주),CHEVROLET BOLT EV,2018
2021-12-23,현대자동차(주),싼타페(SANTAFE),2014
2021-12-23,현대자동차(주),맥스크루즈 (MAXCRUZ),2017
2021-12-23,한불모터스(주),Peugeot e-208,2021
2021-12-23,비엠더블유코리아(주),BMW 528i,2011
2021-12-22,메르세데스벤츠코리아(주),GLC250 d 4Matic,2018
2021-12-23,현대자동차(주),맥스크루즈 (MAXCRUZ),2015
2021-12-23,(주)재규어랜드로버코리아,재규어 XE 2.0D,2016
2021-12-23,현대자동차(주),맥스크루즈 (MAXCRUZ),2015
2021-12-23,현대자동차(주),그랜저(GRANDEUR),2020
2021-12-23,현대자동차(주),맥스크루즈 (MAXCRUZ),2015
2021-12-23,현대자동차(주),그랜저(GRANDEUR),2015
2021-12-23,현대자동차(주),맥스크루즈 (MAXCRUZ),2017
2021-12-23,현대자동차(주),맥스크루즈 (MAXCRUZ),2017
2021-12-22,한국지엠(주),말리부 1.5 TURBO,2017
2021-12-22,현대자동차(주),맥스크루즈 (MAXCRUZ),2018
2021-12-22,비엠더블유코리아(주),BMW 520d,2013
2021-12-22,현대자동차(주),맥스크루즈 (MAXCRUZ),2017
2021-12-22,현대자동차(주),맥스크루즈 (MAXCRUZ),2014
2021-12-22,현대자동차(주),맥스크루즈 (MAXCRUZ),2018
2021-12-22,현대자동차(주),맥스크루즈 (MAXCRUZ),2017
2021-12-22,자기인증면제차량,HYUNDAI SANTAFE XL,2018
2021-12-22,현대자동차(주),맥스크루즈 (MAXCRUZ),2015
2021-12-22,현대자동차(주),맥스크루즈 (MAXCRUZ),2014
2021-12-22,현대자동차(주),맥스크루즈 (MAXCRUZ),2016
2021-12-21,현대자동차(주),맥스크루즈 (MAXCRUZ),2014
2021-12-21,현대자동차(주),그랜저(GRANDEUR),2020
2021-12-21,(주)재규어랜드로버코리아,디스커버리 TD6,2017
2021-12-22,현대자동차(주),맥스크루즈 (MAXCRUZ),2017
2021-12-22,현대자동차(주),싼타페(SANTAFE),2013
2021-12-22,현대자동차(주),맥스크루즈 (MAXCRUZ),2016
2021-12-22,기아주식회사,레이,2012
2021-12-23,기아주식회사,카니발,2015
2021-12-22,현대자동차(주),맥스크루즈 (MAXCRUZ),2015
2021-12-22,현대자동차(주),쏘나타 하이브리드 (SONATA HYBRID),2021
2021-12-21,기아주식회사,모닝,2012
2021-12-22,현대자동차(주),맥스크루즈 (MAXCRUZ),2014
2021-12-22,현대자동차(주),넥쏘 (NEXO) 수소전기차,2020
2021-12-21,한국지엠(주),캡티바 2.0 디젤,2016
2021-12-22,(주)재규어랜드로버코리아,디스커버리 스포츠 2.0D,2018
2021-12-22,현대자동차(주),싼타페(SANTAFE),2014
2021-12-22,현대자동차(주),맥스크루즈 (MAXCRUZ),2014
2021-12-21,한국지엠(주),트랙스 1.4,2022
2021-12-22,현대자동차(주),그랜저(GRANDEUR),2020
2021-12-21,(주)한성특장,한성7.5톤카고,2022
2021-12-22,현대자동차(주),맥스크루즈 (MAXCRUZ),2016
2021-12-22,현대자동차(주),맥스크루즈 (MAXCRUZ),2014
2021-12-22,현대자동차(주),싼타페(SANTAFE),2014
2021-12-22,현대자동차(주),싼타페(SANTAFE),2014
2021-12-21,현대자동차(주),맥스크루즈 (MAXCRUZ),2014
2021-12-21,현대자동차(주),아이오닉5 (IONIQ5),2022
2021-12-21,기아주식회사,K5,2011
2021-12-21,한국지엠(주),캡티바 2.0 디젤,2016
2021-12-21,현대자동차(주),쏘나타(SONATA),2020
2021-12-22,메르세데스벤츠코리아(주),Mercedes-Benz E350 4MATIC,2021
2021-12-21,한국지엠(주),크루즈 1.8 DOHC,2011
2021-12-21,폭스바겐그룹코리아 주식회사,A6 50 TDI quattro,2021
2021-12-21,현대자동차(주),싼타페(SANTAFE),2021
2021-12-21,현대자동차(주),맥스크루즈 (MAXCRUZ),2015
2021-12-21,현대자동차(주),넥쏘 (NEXO) 수소전기차,2022
2021-12-23,비엠더블유코리아(주),BMW 528i xDrive,2014
2021-12-21,현대자동차(주),스타리아 (STARIA),2022
2021-12-21,현대자동차(주),맥스크루즈 (MAXCRUZ),2014
2021-12-21,현대자동차(주),싼타페(SANTAFE),2021
2021-12-21,현대자동차(주),아이오닉5 (IONIQ5),2022
2021-12-20,기아주식회사,스포티지,2016
2021-12-21,현대자동차(주),그랜저(GRANDEUR),2016
2021-12-21,비엠더블유코리아(주),BMW 520d,2016
2021-12-21,현대자동차(주),맥스크루즈 (MAXCRUZ),2014
2021-12-21,현대자동차(주),맥스크루즈 (MAXCRUZ),2016
2021-12-20,폭스바겐그룹코리아 주식회사,A7 55 TFSI quattro,2021
2021-12-20,기아주식회사,쏘렌토,2021
2021-12-20,기아주식회사,쏘렌토,2018
2021-12-20,현대자동차(주),베뉴(VENUE),2020
2021-12-20,한국지엠(주),캡티바 2.0 디젤,2016
2021-12-20,지엠대우오토앤테크놀로지(주),CHEVROLET COLORADO AWD,2021
2021-12-20,기아주식회사,니로 하이브리드,2017
2021-12-20,메르세데스벤츠코리아(주),Mercedes-Benz CLS450 4MATIC,2021
2021-12-20,기아주식회사,K5,2022
2021-12-20,(주)재규어랜드로버코리아,재규어 XE 2.0D,2016
2021-12-20,한국지엠(주),라세티 2.0 디젤,2009
2021-12-20,한국지엠(주),말리부 1.5 TURBO,2017
2021-12-20,현대자동차(주),코나 하이브리드(KONA HYBRID),2020
2021-12-20,기아주식회사,K5,2013
2021-12-20,기아주식회사,K5,2013
2021-12-20,현대자동차(주),EQ900,2016
2021-12-20,현대자동차(주),아반떼(AVANTE),2016
2021-12-20,현대자동차(주),넥쏘 (NEXO) 수소전기차,2022
2021-12-20,폭스바겐그룹코리아 주식회사,Arteon 2.0 TDI,2019
2021-12-20,혼다코리아(주),ODYSSEY,2019
2021-12-20,폭스바겐그룹코리아 주식회사,A6 45 TFSI quattro,2021
2021-12-20,기아주식회사,봉고Ⅲ 1.2톤,2018
