접수일자,제작사,차명,모델년도
2021-10-27,한국지엠(주),말리부 1.5 TURBO,2018
2021-10-27,한국지엠(주),스파크 1.0,2016
2021-10-28,(주)재규어랜드로버코리아,디스커버리 스포츠 2.0D,2017
2021-10-28,(주)재규어랜드로버코리아,재규어 XE 2.0D,2016
2021-10-27,폭스바겐그룹코리아 주식회사,Jetta 1.6 TDI Blue Motion,2014
2021-10-28,현대자동차(주),투싼(TUCSON),2017
2021-10-28,메르세데스벤츠코리아(주),C250 d 4Matic,2016
2021-10-28,현대자동차(주),아이오닉5 (IONIQ5),2022
2021-10-28,기아주식회사,쏘렌토 하이브리드,2021
2021-10-28,기아주식회사,쏘렌토 하이브리드,2021
2021-10-28,기아주식회사,쏘렌토 하이브리드,2021
2021-10-28,현대자동차(주),그랜저(GRANDEUR),2020
2021-10-27,기아주식회사,K7,2020
2021-10-28,기아주식회사,카니발,2015
2021-10-28,기아주식회사,카니발,2015
2021-10-28,한국지엠(주),올란도 1.6 디젤,2016
2021-10-28,현대자동차(주),쏘나타 (SONATA) 하이브리드,2012
2021-10-28,기아주식회사,쏘렌토,2021
2021-10-28,지엠대우오토앤테크놀로지(주),CHEVROLET BOLT EV,2018
2021-10-27,(주)볼보자동차코리아,볼보 XC60B5 AWD,2022
2021-10-27,지엠대우오토앤테크놀로지(주),CHEVROLET BOLT EV,2018
2021-10-27,기아주식회사,카니발,2020
2021-10-27,(주)볼보자동차코리아,볼보 XC60B5 AWD,2022
2021-10-27,기아주식회사,카니발,2020
2021-10-27,지엠대우오토앤테크놀로지(주),CHEVROLET BOLT EV,2018
2021-10-27,지엠대우오토앤테크놀로지(주),CHEVROLET BOLT EV,2018
2021-10-27,기아주식회사,봉고Ⅲ 1.2톤,2020
2021-10-27,지엠대우오토앤테크놀로지(주),CHEVROLET BOLT EV,2018
2021-10-27,(주)재규어랜드로버코리아,레인지로버 이보크 2.0D,2016
2021-10-27,현대자동차(주),제네시스(GENESIS),2010
2021-10-27,기아주식회사,쏘렌토,2021
2021-10-26,기아주식회사,니로 하이브리드,2020
2021-10-26,르노코리아자동차 주식회사,SM6,2017
2021-10-26,기아주식회사,뉴그랜버드(NEW GRANBIRD),2013
2021-10-27,현대자동차(주),스타리아 (STARIA),2022
2021-10-27,(주)재규어랜드로버코리아,디스커버리 SD4,2018
2021-10-27,현대자동차(주),넥쏘 (NEXO) 수소전기차,2020
2021-10-27,지엠대우오토앤테크놀로지(주),CHEVROLET BOLT EV,2018
2021-10-26,기아주식회사,K5,2021
2021-10-27,르노삼성자동차(주),ZOE,2021
2021-10-27,기아주식회사,K5,2020
2021-10-27,(주)재규어랜드로버코리아,디스커버리 스포츠 2.0D,2018
2021-10-27,르노코리아자동차 주식회사,QM6,2020
2021-10-27,폭스바겐그룹코리아 주식회사,Polo 5 FL 1.4 TDI BMT,2016
2021-10-26,(주)볼보자동차코리아,볼보 XC60B5 AWD,2022
2021-10-26,르노삼성자동차(주),QM3,2014
2021-10-26,한국닛산(주),Altima 2.5,2019
2021-10-25,자일대우버스 주식회사,FX120,2018
2021-10-25,자일대우버스 주식회사,FX120,2018
2021-10-26,기아주식회사,K5,2020
2021-10-25,자일대우버스 주식회사,FX120,2018
2021-10-26,폭스바겐그룹코리아 주식회사,Polo 5 FL 1.4 TDI BMT,2015
2021-10-26,비엠더블유코리아(주),BMW 520d xDrive,2016
2021-10-26,기아주식회사,니로 하이브리드,2020
2021-10-26,르노삼성자동차(주),ZOE,2021
2021-10-26,기아주식회사,니로 하이브리드,2017
2021-10-26,기아주식회사,쏘렌토,2021
2021-10-25,르노삼성자동차(주),ZOE,2021
2021-10-26,지엠대우오토앤테크놀로지(주),CHEVROLET IMPALA 2.5,2016
2021-10-26,현대자동차(주),그랜드 스타렉스(GRAND STAREX),2017
2021-10-25,(주)재규어랜드로버코리아,디스커버리 스포츠 2.0D,2017
2021-10-25,기아주식회사,K7,2016
2021-10-25,한국지엠(주),라세티 1.8 DOHC,2011
2021-10-25,르노코리아자동차 주식회사,SM3,2016
2021-10-25,기아주식회사,니로 하이브리드,2020
2021-10-25,기아주식회사,니로 하이브리드,2020
2021-10-25,현대자동차(주),제네시스(GENESIS),2015
2021-10-25,르노삼성자동차(주),ZOE,2021
2021-10-25,한국닛산(주),INFINITI QX60,2017
2021-10-25,기아주식회사,니로 하이브리드,2020
2021-10-25,한국지엠(주),올란도 2.0 LPG,2014
2021-10-25,기아주식회사,K5,2014
2021-10-25,기아주식회사,니로 하이브리드,2020
2021-10-25,현대자동차(주),그랜저(GRANDEUR),2020
2021-10-25,한국지엠(주),크루즈 1.8 DOHC,2014
2021-10-25,(주)재규어랜드로버코리아,디스커버리 스포츠 2.0D,2016
2021-10-25,한국지엠(주),말리부 1.35 TURBO,2019
2021-10-25,(주)재규어랜드로버코리아,재규어 XE 2.0D,2016
2021-10-26,현대자동차(주),쏘나타 (SONATA),2008
2021-10-26,현대자동차(주),스타리아 (STARIA),2022
2021-10-25,지엠대우오토앤테크놀로지(주),CHEVROLET IMPALA 2.5,2016
2021-10-26,(주)재규어랜드로버코리아,재규어 XE 20d,2019
2021-10-25,한국지엠(주),스파크 1.0 DOHC,2014
2021-10-25,기아주식회사,K5,2012
2021-10-22,타타대우상용차(주),대우4.5톤극초장축플러스카고트럭,2019
2021-10-22,한국닛산(주),Altima 2.5,2019
2021-10-25,현대자동차(주),싼타페(SANTAFE),2014
2021-10-25,(주)재규어랜드로버코리아,재규어 F-PACE 20d,2018
2021-10-22,현대자동차(주),그랜저(GRANDEUR),2015
2021-10-25,기아주식회사,K7,2014
2021-10-25,기아주식회사,쏘렌토,2016
2021-10-25,한국지엠(주),올란도 2.0 LPG,2012
2021-10-25,스텔란티스코리아주식회사,짚 레니게이드,2017
2021-10-25,스텔란티스코리아주식회사,짚 레니게이드,2017
2021-10-25,(주)볼보자동차코리아,볼보 XC60B5 AWD,2021
2021-10-25,폭스바겐그룹코리아 주식회사,Touareg V6 3.0 TDI BMT,2016
2021-10-25,폭스바겐그룹코리아 주식회사,Tiguan 2.0 TDI Blue Motion,2015
2021-10-25,비엠더블유코리아(주),BMW X3 xDrive30e,2021
2021-10-22,기아주식회사,K5,2014
2021-10-22,지엠대우오토앤테크놀로지(주),CHEVROLET IMPALA 2.5,2017
2021-10-22,지엠대우오토앤테크놀로지(주),CHEVROLET BOLT EV,2018
2021-10-22,테슬라코리아 유한회사,Model Y Long Range,2021
2021-10-25,기아주식회사,스포티지,2019
2021-10-22,현대자동차(주),싼타페(SANTAFE),2021
2021-10-22,포드세일즈서비스코리아(유),토러스,2015
2021-10-22,한국닛산(주),INFINITI QX60 AWD,2015
2021-10-22,스텔란티스코리아주식회사,짚 체로키 2.4,2019
2021-10-21,현대자동차(주),싼타페(SANTAFE),2019
2021-10-21,메르세데스벤츠코리아(주),E220 d,2017
2021-10-22,현대자동차(주),싼타페(SANTAFE),2021
2021-10-22,쌍용자동차(주),코란도,2021
2021-10-21,현대자동차(주),그랜저(GRANDEUR),2011
2021-10-21,기아주식회사,K5 하이브리드,2013
2021-10-21,현대자동차(주),그랜저(GRANDEUR),2018
2021-10-21,지엠대우오토앤테크놀로지(주),CHEVROLET IMPALA 2.5,2016
2021-10-21,메르세데스벤츠코리아(주),E300,2014
2021-10-21,한국지엠(주),올란도 2.0 LPG,2012
2021-10-20,기아주식회사,K7 하이브리드,2020
2021-10-21,(주)재규어랜드로버코리아,디스커버리 SD4,2017
2021-10-20,현대자동차(주),그랜저(GRANDEUR),2020
2021-10-21,기아주식회사,K5,2020
2021-10-20,현대자동차(주),G90,2021
2021-10-20,현대자동차(주),그랜저(GRANDEUR),2020
2021-10-21,혼다코리아(주),ODYSSEY,2019
2021-10-21,테슬라코리아 유한회사,Model Y Long Range,2021
2021-10-21,메르세데스벤츠코리아(주),E300,2017
2021-10-21,기아주식회사,K5,2011
2021-10-21,메르세데스벤츠코리아(주),벤츠 E 300 e,2019
2021-10-21,현대자동차(주),쏘나타(SONATA),2017
2021-10-22,한국닛산(주),INFINITI QX60,2017
2021-10-20,한국지엠(주),말리부 1.5 TURBO,2017
2021-10-20,기아주식회사,K5,2011
2021-10-20,현대자동차(주),싼타페(SANTAFE),2021
2021-10-20,현대자동차(주),팰리세이드(PALISADE),2022
2021-10-19,현대자동차(주),아반떼(AVANTE),2008
2021-10-19,기아주식회사,쏘렌토,2016
2021-10-20,(주)재규어랜드로버코리아,디스커버리 스포츠 2.0D,2016
2021-10-20,(주)재규어랜드로버코리아,디스커버리 스포츠 2.0D,2016
2021-10-20,(주)재규어랜드로버코리아,디스커버리 스포츠 2.0D,2016
2021-10-20,현대자동차(주),그랜저(GRANDEUR),2011
2021-10-20,(주)재규어랜드로버코리아,재규어 XF 20d,2016
2021-10-20,기아주식회사,카니발,2021
2021-10-20,한국닛산(주),INFINITI QX60 AWD,2018
2021-10-20,(주)재규어랜드로버코리아,재규어 XF 20d,2017
2021-10-20,기아주식회사,K7,2020
2021-10-20,한국닛산(주),INFINITI QX60 AWD,2018
2021-10-20,지엠대우오토앤테크놀로지(주),CHEVROLET BOLT EV,2018
2021-10-20,메르세데스벤츠코리아(주),GLC220 d 4Matic Coupe,2017
2021-10-20,현대자동차(주),EQ900,2017
2021-10-20,(주)재규어랜드로버코리아,재규어 XE 20d,2018
2021-10-19,기아주식회사,카니발,2017
2021-10-19,(주)재규어랜드로버코리아,디스커버리 TD6,2019
2021-10-18,한국지엠(주),말리부 2.0 DOHC,2013
2021-10-19,기아주식회사,K5,2012
2021-10-19,기아주식회사,K8 하이브리드,2022
2021-10-19,폭스바겐그룹코리아 주식회사,Tiguan 2.0 TDI,2018
2021-10-18,현대자동차(주),메가트럭,2017
2021-10-19,기아주식회사,K7,2017
2021-10-18,현대자동차(주),제네시스(GENESIS),2012
2021-10-19,현대자동차(주),제네시스(GENESIS),2012
2021-10-18,(주)쓰리축코리아,쓰리축코리아6.5톤극초장축플러스카고,2022
2021-10-19,르노코리아자동차 주식회사,XM3,2020
2021-10-19,한국토요타자동차(주),토요타 Camry,2021
2021-10-19,르노코리아자동차 주식회사,SM5,2009
2021-10-19,(주)재규어랜드로버코리아,디스커버리 스포츠 2.0D,2017
2021-10-19,지엠대우오토앤테크놀로지(주),CHEVROLET IMPALA 2.5,2016
2021-10-19,한국닛산(주),INFINITI QX60 AWD,2018
2021-10-19,현대자동차(주),쏘나타(SONATA),2015
2021-10-19,(주)재규어랜드로버코리아,레인지로버 이보크 2.0D,2016
2021-10-19,한국지엠(주),크루즈 1.4 터보,2017
2021-10-18,르노코리아자동차 주식회사,SM5,2009
2021-10-19,기아주식회사,니로 하이브리드,2020
2021-10-19,현대자동차(주),아이오닉5 (IONIQ5),2022
2021-10-19,메르세데스벤츠코리아(주),Mercedes-Benz E350 4MATIC,2021
2021-10-19,기아주식회사,니로 하이브리드,2020
2021-10-19,한국닛산(주),INFINITI QX60 AWD,2018
2021-10-18,기아주식회사,카니발,2019
2021-10-18,현대자동차(주),G80,2017
2021-10-18,한국닛산(주),INFINITI QX60,2017
2021-10-18,현대자동차(주),그랜저(GRANDEUR),2015
2021-10-18,현대자동차(주),G80,2018
2021-10-18,현대자동차(주),G80,2021
2021-10-18,기아주식회사,K5 하이브리드,2013
2021-10-18,현대자동차(주),제네시스(GENESIS),2015
2021-10-18,기아주식회사,쏘렌토,2021
2021-10-18,쌍용자동차(주),코란도C,2015
2021-10-18,기아주식회사,니로 하이브리드,2020
2021-10-18,한국지엠(주),말리부 2.0 TURBO,2017
2021-10-18,현대자동차(주),G80,2018
2021-10-19,한국지엠(주),올란도 2.0 디젤,2012
2021-10-18,기아주식회사,니로 하이브리드,2020
2021-10-18,한국닛산(주),INFINITI QX60,2017
2021-10-18,한국지엠(주),트랙스 1.4,2014
2021-10-18,지엠대우오토앤테크놀로지(주),CHEVROLET IMPALA 2.5,2016
2021-10-18,테슬라코리아 유한회사,Model Y Standard Range,2021
2021-10-18,현대자동차(주),아이오닉5 (IONIQ5),2022
2021-10-18,한국닛산(주),INFINITI QX60,2016
2021-10-18,한국지엠(주),트랙스 1.6 디젤,2017
2021-10-18,포드세일즈서비스코리아(유),Explorer 2.3 AWD,2016
2021-10-18,한국닛산(주),INFINITI QX60,2017
2021-10-18,현대자동차(주),팰리세이드(PALISADE),2022
2021-10-19,메르세데스벤츠코리아(주),E300 4Matic,2018
2021-10-18,한국지엠(주),트레일블레이저 1.35 TURBO FWD,2021
2021-10-18,기아주식회사,K5,2011
2021-10-18,현대자동차(주),아반떼(AVANTE),2011
2021-10-18,기아주식회사,K5,2012
2021-10-19,(주)재규어랜드로버코리아,디스커버리4 3.0D,2016
2021-10-18,비엠더블유코리아(주),BMW 760Li,2010
2021-10-18,한국지엠(주),올란도 2.0 LPG,2013
2021-10-15,타타대우상용차(주),대우트랙터,2019
2021-10-18,지엠대우오토앤테크놀로지(주),CHEVROLET BOLT EV,2019
2021-10-18,기아주식회사,K5,2014
2021-10-18,현대자동차(주),G80,2019
2021-10-18,기아주식회사,K5,2014
2021-10-18,르노코리아자동차 주식회사,XM3,2020
2021-10-19,기아주식회사,니로 하이브리드,2020
2021-10-15,르노코리아자동차 주식회사,SM6,2016
2021-10-15,기아주식회사,K5 하이브리드,2014
2021-10-15,기아주식회사,K5 하이브리드,2013
2021-10-15,한국닛산(주),INFINITI QX60 AWD,2018
2021-10-15,현대자동차(주),제네시스(GENESIS),2016
2021-10-15,한국지엠(주),말리부 2.0 TURBO,2018
2021-10-14,비엠더블유코리아(주),BMW 730d,2013
2021-10-15,한국닛산(주),INFINITI QX60 AWD,2019
2021-10-15,(주)재규어랜드로버코리아,디스커버리 SD4,2018
2021-10-15,현대자동차(주),GV80,2021
2021-10-15,지엠대우오토앤테크놀로지(주),CHEVROLET IMPALA 3.6,2017
2021-10-18,한국닛산(주),INFINITI QX60,2016
2021-10-14,포드세일즈서비스코리아(유),Mustang 2.3 Coupe,2017
2021-10-15,한국닛산(주),INFINITI QX60,2017
2021-10-15,기아주식회사,니로 하이브리드,2020
2021-10-15,한국닛산(주),INFINITI QX60,2017
2021-10-15,한국닛산(주),INFINITI QX60,2017
2021-10-18,현대자동차(주),G80,2018
2021-10-18,기아주식회사,K5,2014
2021-10-18,(주)한성특장,한성8.5톤트럭,2018
2021-10-18,(주)한국쓰리축,한국쓰리축6.5톤트럭,2016
2021-10-18,한국상용트럭(주),한국상용4.5톤카고트럭,2016
2021-10-18,메르세데스벤츠코리아(주),E300 4Matic,2017
2021-10-18,(주)한국쓰리축,한국쓰리축4.5톤트럭,2017
2021-10-14,기아주식회사,니로 하이브리드,2020
2021-10-15,(주)한국쓰리축,한국쓰리축7.5톤트럭,2016
2021-10-14,쌍용자동차(주),렉스턴스포츠,2018
2021-10-15,(주)재규어랜드로버코리아,디스커버리 TD6,2017
2021-10-15,(주)한성특장,한성9.5톤카고,2017
2021-10-15,현대자동차(주),아이오닉5 (IONIQ5),2022
2021-10-15,현대자동차(주),아이오닉5 (IONIQ5),2022
2021-10-15,메르세데스벤츠코리아(주),E220 d 4Matic,2017
2021-10-15,기아주식회사,K5,2011
2021-10-14,지엠대우오토앤테크놀로지(주),CHEVROLET BOLT EV,2018
2021-10-14,테슬라코리아 유한회사,Model Y Long Range,2021
2021-10-14,지엠대우오토앤테크놀로지(주),CHEVROLET IMPALA 3.6,2016
2021-10-14,기아주식회사,K5,2014
2021-10-14,현대자동차(주),그랜저(GRANDEUR),2011
2021-10-14,스텔란티스코리아주식회사,짚 체로키 2.2,2018
2021-10-14,기아주식회사,K5,2013
2021-10-14,현대자동차(주),팰리세이드(PALISADE),2021
2021-10-14,(주)재규어랜드로버코리아,재규어 XF 20d,2017
2021-10-14,현대자동차(주),제네시스(GENESIS),2015
2021-10-14,비엠더블유코리아(주),BMW 118d M Sport Package,2020
2021-10-13,(주)한국쓰리축,한국쓰리축8톤트럭,2020
2021-10-14,메르세데스벤츠코리아(주),E300 4Matic,2017
2021-10-14,지엠대우오토앤테크놀로지(주),CHEVROLET IMPALA 2.5,2016
2021-10-14,현대자동차(주),아이오닉5 (IONIQ5),2022
2021-10-14,현대자동차(주),G80,2017
2021-10-13,르노삼성자동차(주),ZOE,2021
2021-10-13,르노코리아자동차 주식회사,XM3,2021
2021-10-14,현대자동차(주),i30,2014
2021-10-14,현대자동차(주),G80,2018
2021-10-13,혼다코리아(주),WW125A,2021
2021-10-14,현대자동차(주),G80,2017
2021-10-14,현대자동차(주),싼타페(SANTAFE),2021
2021-10-15,기아주식회사,K5 하이브리드,2013
2021-10-14,기아주식회사,K5,2013
2021-10-14,현대자동차(주),제네시스(GENESIS),2014
2021-10-14,(주)재규어랜드로버코리아,재규어 XE 2.0D,2016
2021-10-13,현대자동차(주),제네시스(GENESIS),2015
2021-10-13,현대자동차(주),제네시스(GENESIS),2015
2021-10-13,현대자동차(주),제네시스(GENESIS),2015
2021-10-13,지엠대우오토앤테크놀로지(주),CHEVROLET IMPALA 3.6,2016
2021-10-13,현대자동차(주),G80,2017
2021-10-13,폭스바겐그룹코리아 주식회사,Tiguan 2.0TDI,2021
2021-10-13,기아주식회사,카니발 리무진,2022
2021-10-13,기아주식회사,니로 EV,2019
2021-10-13,기아주식회사,K7,2020
2021-10-12,(주)재규어랜드로버코리아,레인지로버 스포츠 3.0D,2016
2021-10-13,현대자동차(주),G80,2021
2021-10-13,(주)재규어랜드로버코리아,디스커버리 스포츠 2.0D,2016
2021-10-13,기아주식회사,카니발,2017
2021-10-14,(주)재규어랜드로버코리아,디스커버리 스포츠 2.0D,2016
2021-10-12,기아주식회사,니로 하이브리드,2020
2021-10-13,폭스바겐그룹코리아 주식회사,Arteon 2.0 TDI,2019
2021-10-12,메르세데스벤츠코리아(주),E350 d,2017
2021-10-14,지엠대우오토앤테크놀로지(주),CHEVROLET BOLT EV,2017
2021-10-13,지엠대우오토앤테크놀로지(주),CHEVROLET BOLT EV,2017
2021-10-13,쌍용자동차(주),티볼리,2015
2021-10-13,르노코리아자동차 주식회사,QM6,2019
2021-10-13,현대자동차(주),G80,2017
2021-10-13,현대자동차(주),베뉴(VENUE),2020
2021-10-13,현대자동차(주),G80,2017
2021-10-13,현대자동차(주),G80,2018
2021-10-13,현대자동차(주),제네시스(GENESIS),2016
2021-10-13,현대자동차(주),G80,2017
2021-10-13,현대자동차(주),G80,2017
2021-10-13,메르세데스벤츠코리아(주),GLK220 CDI 4Matic,2011
2021-10-13,현대자동차(주),G80,2017
2021-10-13,테슬라코리아 유한회사,Model Y Long Range,2021
2021-10-13,현대자동차(주),G80,2018
2021-10-14,현대자동차(주),G80,2017
2021-10-13,현대자동차(주),G80,2018
2021-10-14,기아주식회사,니로 하이브리드,2020
2021-10-13,테슬라코리아 유한회사,Model Y Long Range,2021
2021-10-14,기아주식회사,K7,2012
2021-10-15,현대정공(주),갤로퍼Ⅱ밴,1999
2021-10-14,현대자동차(주),i30,2016
2021-10-14,지엠코리아(주),캐딜락 SRX 3.0,2010
2021-10-14,스텔란티스코리아주식회사,짚랭글러 3.6 스포츠,2017
2021-10-14,르노코리아자동차 주식회사,QM6,2017
2021-10-13,(주)재규어랜드로버코리아,디스커버리 스포츠 2.0D,2017
2021-10-13,지엠대우오토앤테크놀로지(주),CHEVROLET IMPALA 2.5,2016
2021-10-13,현대자동차(주),투싼(TUCSON),2018
2021-10-13,르노코리아자동차 주식회사,SM3,2011
2021-10-14,현대자동차(주),G80,2017
2021-10-13,기아주식회사,K7,2020
2021-10-13,현대자동차(주),아이오닉5 (IONIQ5),2022
2021-10-13,기아주식회사,K5,2013
2021-10-13,현대자동차(주),아이오닉5 (IONIQ5),2022
2021-10-13,현대자동차(주),G80,2018
2021-10-13,현대자동차(주),GV70,2021
2021-10-13,혼다코리아(주),ODYSSEY,2021
2021-10-13,현대자동차(주),G80,2017
2021-10-13,테슬라코리아 유한회사,Model Y Standard Range,2021
2021-10-13,비엠더블유코리아(주),BMW Active Tourer JOY,2019
2021-10-12,현대자동차(주),베뉴(VENUE),2020
2021-10-12,현대자동차(주),아반떼 (AVANTE),2014
2021-10-12,현대자동차(주),G80,2017
2021-10-12,한국닛산(주),INFINITI QX60 AWD,2015
2021-10-12,현대자동차(주),G80,2021
2021-10-12,기아주식회사,쏘렌토 하이브리드,2021
2021-10-12,스텔란티스코리아주식회사,짚 체로키 2.4,2019
2021-10-12,현대자동차(주),싼타페(SANTAFE),2019
2021-10-12,현대자동차(주),제네시스(GENESIS),2014
2021-10-12,기아주식회사,니로 PHEV,2020
2021-10-12,한국지엠(주),트레일블레이저 1.35 TURBO AWD,2021
2021-10-12,한국지엠(주),올란도 2.0 LPG,2012
2021-10-12,테슬라코리아 유한회사,Model Y Standard Range,2021
2021-10-12,현대자동차(주),G80,2018
2021-10-12,한국지엠(주),아베오 1.4,2016
2021-10-12,현대자동차(주),G80,2018
2021-10-12,기아주식회사,니로 하이브리드,2020
2021-10-12,현대자동차(주),G80,2018
2021-10-12,현대자동차(주),G80,2018
2021-10-12,현대자동차(주),제네시스(GENESIS),2016
2021-10-12,현대자동차(주),G80,2018
2021-10-12,현대자동차(주),G80,2017
2021-10-12,현대자동차(주),G80,2017
2021-10-12,현대자동차(주),G80,2017
2021-10-12,현대자동차(주),G80,2017
2021-10-14,현대자동차(주),제네시스(GENESIS),2016
2021-10-13,현대자동차(주),제네시스(GENESIS),2016
2021-10-12,현대자동차(주),제네시스(GENESIS),2016
2021-10-12,현대자동차(주),G80,2018
2021-10-12,현대자동차(주),G80,2018
2021-10-12,현대자동차(주),제네시스(GENESIS),2016
2021-10-12,테슬라코리아 유한회사,Model Y Long Range,2021
2021-10-12,현대자동차(주),G80,2017
2021-10-12,포드세일즈서비스코리아(유),Explorer 2.3 AWD,2016
2021-10-12,현대자동차(주),G80,2017
2021-10-12,현대자동차(주),제네시스(GENESIS),2015
2021-10-12,메르세데스벤츠코리아(주),Mercedes-Benz E350 4MATIC,2021
2021-10-12,현대자동차(주),G80,2018
2021-10-08,르노코리아자동차 주식회사,SM3,2011
2021-10-12,포드세일즈서비스코리아(유),링컨 MKX,2009
2021-10-08,기아주식회사,카니발,2013
2021-10-08,기아주식회사,K7 하이브리드,2014
2021-10-12,테슬라코리아 유한회사,Model Y Long Range,2021
2021-10-14,현대자동차(주),G80,2018
2021-10-12,현대자동차(주),G80,2018
2021-10-12,현대자동차(주),제네시스(GENESIS),2015
2021-10-12,현대자동차(주),쏘나타 하이브리드(SONATA HYBRID),2015
2021-10-12,르노코리아자동차 주식회사,SM6,2016
2021-10-08,기아주식회사,K8 하이브리드,2022
2021-10-08,기아주식회사,니로 PHEV,2020
2021-10-08,현대자동차(주),G80,2018
2021-10-08,현대자동차(주),G80,2018
2021-10-08,현대자동차(주),G80,2018
2021-10-08,현대자동차(주),G80,2020
2021-10-08,혼다코리아(주),GL1800,2019
2021-10-07,현대자동차(주),쏘나타 하이브리드(SONATA HYBRID),2015
2021-10-08,현대자동차(주),G80,2017
2021-10-08,현대자동차(주),EQ900,2016
2021-10-08,기아주식회사,니로 하이브리드,2020
2021-10-07,기아주식회사,봉고Ⅲ 1톤,2022
2021-10-08,폭스바겐그룹코리아 주식회사,A6 45 TFSI quattro,2020
2021-10-08,현대자동차(주),포터Ⅱ냉동탑차 (PORTER Ⅱ),2021
2021-10-08,기아주식회사,K5,2012
2021-10-08,기아주식회사,K7,2020
2021-10-08,기아주식회사,K5,2017
2021-10-08,현대자동차(주),아반떼(AVANTE),2016
2021-10-08,현대자동차(주),i30,2015
2021-10-08,지엠대우오토앤테크놀로지(주),CHEVROLET IMPALA 2.5,2016
2021-10-12,현대자동차(주),아이오닉5 (IONIQ5),2022
2021-10-12,현대자동차(주),i40 Saloon,2014
2021-10-12,한국지엠(주),라세티 1.6 DOHC,2011
2021-10-07,(주)한성특장,한성8.5톤플러스카고,2020
2021-10-08,폭스바겐그룹코리아 주식회사,A6 40 TFSI,2018
2021-10-08,기아주식회사,K5,2014
2021-10-12,비엠더블유코리아(주),620d Luxury,2020
2021-10-08,기아주식회사,쏘렌토,2021
2021-10-07,기아주식회사,쏘렌토 하이브리드,2021
2021-10-08,폭스바겐그룹코리아 주식회사,A7 55 TFSI quattro,2021
2021-10-08,기아주식회사,니로 하이브리드,2020
2021-10-12,기아주식회사,쏘울 전기차,2019
2021-10-08,르노코리아자동차 주식회사,SM5,2009
2021-10-08,기아주식회사,카니발,2016
2021-10-08,현대자동차(주),아이오닉5 (IONIQ5),2022
2021-10-08,르노코리아자동차 주식회사,QM6,2018
2021-10-08,포드세일즈서비스코리아(유),익스플로러,2015
2021-10-08,현대자동차(주),쏘나타 하이브리드(SONATA HYBRID),2015
2021-10-08,기아주식회사,니로 하이브리드,2020
2021-10-08,기아주식회사,K5,2021
2021-10-06,현대자동차(주),마이티,2019
2021-10-07,기아주식회사,쏘렌토,2015
2021-10-06,기아주식회사,EV6,2022
2021-10-07,기아주식회사,EV6,2022
2021-10-07,기아주식회사,쏘울 EV,2015
2021-10-07,기아주식회사,쏘울 EV,2015
2021-10-07,한국지엠(주),올란도 2.0 LPG,2013
2021-10-07,한국닛산(주),INFINITI QX60 AWD,2015
2021-10-07,한국지엠(주),말리부 1.5 TURBO,2017
2021-10-07,기아주식회사,니로 하이브리드,2018
2021-10-07,지엠대우오토앤테크놀로지(주),CHEVROLET IMPALA 3.6,2016
2021-10-07,기아주식회사,K5,2014
2021-10-07,지엠대우오토앤테크놀로지(주),CHEVROLET BOLT EV,2018
2021-10-07,기아주식회사,쏘렌토,2021
2021-10-07,비엠더블유코리아(주),BMW 530e iPerformance M Sport Package,2020
2021-10-07,현대자동차(주),아반떼(AVANTE),2011
2021-10-08,기아주식회사,그랜드 카니발,2013
2021-10-07,르노코리아자동차 주식회사,SM6,2019
2021-10-07,폭스바겐그룹코리아 주식회사,Golf 2.0 TDI BMT,2016
2021-10-07,현대자동차(주),그랜저(GRANDEUR),2020
2021-10-07,폭스바겐그룹코리아 주식회사,A6 45 TFSI quattro,2020
2021-10-07,현대자동차(주),투싼(TUCSON),2018
2021-10-07,현대자동차(주),아이오닉5(IONIQ5),2022
2021-10-05,비엠더블유코리아(주),BMW 520d,2013
2021-10-05,한국지엠(주),알페온2.4DOHC,2012
2021-10-07,(주)한국쓰리축,한국쓰리축6.5톤트럭,2017
2021-10-07,(주)한중특장,한중8.5톤플러스카고,2019
2021-10-07,(주)한국쓰리축,한국쓰리축4.5톤트럭,2017
2021-10-07,(주)한국쓰리축,한국쓰리축6.5톤트럭,2016
2021-10-07,비엠더블유코리아(주),BMW 530e,2021
2021-10-07,메르세데스벤츠코리아(주),Mercedes-Maybach S580 4MATIC,2021
2021-10-07,(주)한국쓰리축,한국쓰리축6.5톤트럭,2016
2021-10-07,지엠대우오토앤테크놀로지(주),CHEVROLET COLORADO AWD,2021
2021-10-07,기아주식회사,니로 하이브리드,2020
2021-10-07,기아주식회사,봉고Ⅲ 1톤,2022
2021-10-07,현대자동차(주),투싼(TUCSON),2017
2021-10-05,현대자동차(주),그랜저(GRANDEUR),2020
2021-10-07,기아주식회사,K5,2012
2021-10-07,한국지엠(주),말리부 1.5 TURBO,2017
2021-10-07,현대자동차(주),베뉴(VENUE),2020
2021-10-07,현대자동차(주),그랜저(GRANDEUR),2020
2021-10-07,기아주식회사,쏘렌토,2021
2021-10-06,현대자동차(주),아이오닉5(IONIQ5),2022
2021-10-06,지엠대우오토앤테크놀로지(주),CHEVROLET COLORADO AWD,2021
2021-10-06,테슬라코리아 유한회사,Model Y Long Range,2021
2021-10-06,메르세데스벤츠코리아(주),CLS400 d 4Matic,2019
2021-10-06,현대자동차(주),아이오닉5 (IONIQ5),2022
2021-10-06,르노코리아자동차 주식회사,SM6,2016
